player_id,game_id,game_date,matchup,team_abbreviation,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,fg3m,fg3a,avg_points_last5,avg_assists_last5,avg_rebounds_last5,avg_minutes_last5,avg_fg3m_last5,avg_fg3a_last5,avg_fga_last5,fg3_pct_last5
203078,22500190,2025-11-08,LAC vs. PHX,LAC,20.0,12.0,3.0,0.0,1.0,0.0,1.0,4.0,9.0,2.0,4.0,12.0,3.0,0.0,20.0,2.0,4.0,9.0,0.5
203083,22500657,2026-01-26,PHI @ CHA,PHI,19.0,4.0,1.0,7.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.5,3.5,11.5,0.0,0.0,1.5,
203084,22500654,2026-01-25,SAS vs. NOP,SAS,19.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,8.0,1.75,2.5,25.5,1.5,3.0,4.75,0.5
203110,22500644,2026-01-25,GSW @ MIN,GSW,23.0,2.0,5.0,5.0,2.0,0.0,1.0,1.0,5.0,0.0,3.0,5.666666666666667,6.0,4.333333333333333,26.333333333333332,1.3333333333333333,6.0,7.0,0.2222222222222222
203114,22500664,2026-01-27,WAS vs. POR,,27.0,19.0,5.0,6.0,3.0,1.0,1.0,7.0,14.0,1.0,2.0,15.0,4.0,4.333333333333333,23.666666666666668,1.3333333333333333,3.0,10.333333333333334,0.4444444444444444
203468,22500659,2026-01-26,ATL vs. IND,ATL,28.0,23.0,7.0,8.0,2.0,1.0,2.0,9.0,15.0,5.0,7.0,19.25,3.5,5.0,29.25,3.0,7.0,15.75,0.42857142857142855
203471,22500665,2026-01-27,SAC @ NYK,,23.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,8.0,0.0,3.0,11.666666666666666,3.0,3.0,26.0,1.6666666666666667,5.333333333333333,11.666666666666666,0.31250000000000006
203482,22500632,2026-01-22,SAS @ UTA,,8.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,8.0,0.0,2.0,4.0,0.0
203484,22500662,2026-01-26,MEM @ HOU,MEM,18.0,11.0,1.0,3.0,0.0,0.0,0.0,5.0,9.0,1.0,4.0,8.5,2.0,2.25,21.25,0.25,2.75,7.25,0.09090909090909091
203486,22500402,2025-12-22,CHA @ CLE,,10.0,5.0,0.0,5.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,5.0,0.0,5.0,10.0,0.0,0.0,4.0,
203497,22500663,2026-01-26,MIN vs. GSW,MIN,35.0,15.0,2.0,17.0,1.0,2.0,3.0,5.0,8.0,0.0,0.0,11.0,1.5,12.5,30.25,0.0,0.25,6.75,0.0
203500,22500604,2026-01-18,HOU vs. NOP,HOU,27.0,5.0,2.0,10.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,2.0,10.0,27.0,0.0,0.0,3.0,
203501,22500668,2026-01-27,DEN vs. DET,DEN,32.0,14.0,3.0,4.0,0.0,0.0,0.0,5.0,13.0,4.0,9.0,16.0,1.5,5.0,27.5,4.0,7.75,10.75,0.5161290322580645
203507,22500640,2026-01-23,MIL vs. DEN,MIL,32.0,22.0,7.0,13.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,22.0,7.0,13.0,32.0,0.0,0.0,8.0,
203648,22500666,2026-01-27,MIL @ PHI,MIL,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,0.0,0.0,0.0,
203897,22500638,2026-01-23,SAC @ CLE,SAC,23.0,10.0,0.0,0.0,1.0,0.0,1.0,4.0,8.0,2.0,5.0,19.75,1.5,2.75,27.5,2.25,6.25,14.75,0.36
